insider,len,mo2_sum,mo2_per_trade,mo2_ratio,mo6_sum,mo6_per_trade,mo6_ratio,year1_sum,year1_per_trade,year1_ratio
nevels james e,20,3.617877974390166,0.18089389871950828,80,11.16045768530556,0.558022884265278,80,27.868535870565367,1.3934267935282683,80
berce daniel e,5,0.24696708122127958,0.04939341624425592,40,0.2480639347480708,0.049612786949614164,40,0.20403178606975422,0.040806357213950845,40
konzmann richard ernst,6,0.6378730749921838,0.10631217916536397,83,1.1963998682182317,0.19939997803637197,83,-0.08542562707792778,-0.014237604512987964,83
tonkel james rock jr,13,0.7898987134349806,0.06076143949499851,61,0.8687544877777786,0.06682726829059836,61,0.2732285500839037,0.0210175807756849,61
billings eric f,2,0.03866917098077738,0.01933458549038869,50,0.1187293790960705,0.05936468954803525,50,-0.3549642944732508,-0.1774821472366254,50
michael ralph s iii,2,0.05220767436436281,0.026103837182181407,100,-0.12970454452933827,-0.06485227226466914,100,-0.27312013230438714,-0.13656006615219357,100
tonkel j rock jr,8,0.05400231210826534,0.006750289013533167,37,-0.3272827550552546,-0.04091034438190683,37,0.0,0.0,37
cahill john t,4,-1.011132202950297,-0.25278305073757423,0,-0.8367829628266031,-0.20919574070665078,0,-0.5275046065749491,-0.13187615164373728,0
embler michael j,2,-0.46419101694928244,-0.23209550847464122,0,-0.29498163414529444,-0.14749081707264722,0,-0.447950566117354,-0.223975283058677,0
albaugh james f,3,0.06811634269644355,0.022705447565481183,33,-1.133915879302765,-0.37797195976758835,33,-0.9575270110586576,-0.31917567035288585,33
isom robert d jr,2,0.13057492072257276,0.06528746036128638,50,-0.34799509333742734,-0.17399754666871367,50,-0.9300035342629545,-0.46500176713147723,50
johnson stephen l,1,-0.020260993667039425,-0.020260993667039425,0,-0.06456047437959918,-0.06456047437959918,0,-0.4258242159516828,-0.4258242159516828,0
parker william douglas,1,-0.020260993667039425,-0.020260993667039425,0,-0.06456047437959918,-0.06456047437959918,0,-0.4258242159516828,-0.4258242159516828,0
eberwein elise r,1,-0.020260993667039425,-0.020260993667039425,0,-0.06456047437959918,-0.06456047437959918,0,-0.4258242159516828,-0.4258242159516828,0
kerr derek j,1,-0.020260993667039425,-0.020260993667039425,0,-0.06456047437959918,-0.06456047437959918,0,-0.4258242159516828,-0.4258242159516828,0
leibman maya,1,-0.020260993667039425,-0.020260993667039425,0,-0.06456047437959918,-0.06456047437959918,0,-0.4258242159516828,-0.4258242159516828,0
benjamin jeffrey d,1,-0.08598542832490486,-0.08598542832490486,0,-0.16471244189828368,-0.16471244189828368,0,-0.21189280338504865,-0.21189280338504865,0
harris hubert l jr,1,-0.04639642573188487,-0.04639642573188487,0,-0.16576577381560956,-0.16576577381560956,0,0.0,0.0,0
moore marvonia p,1,-0.1276258173514449,-0.1276258173514449,0,-0.2449465088110739,-0.2449465088110739,0,0.0,0.0,0
barrett kelly hefner,4,0.08386768273110234,0.020966920682775586,75,-0.2522751521256287,-0.06306878803140717,75,-0.05747518448058167,-0.014368796120145418,75
harris hubert l. jr.,1,-0.04639642573188487,-0.04639642573188487,0,-0.16576577381560956,-0.16576577381560956,0,0.0,0.0,0
lin chewei,1,0.5927834139327389,0.5927834139327389,100,0.13273192043701879,0.13273192043701879,100,-0.26675259157300957,-0.26675259157300957,100
yeh william h,1,0.47840540157769207,0.47840540157769207,100,-0.07862680610659967,-0.07862680610659967,100,-0.027685493620467815,-0.027685493620467815,100
moore alan d,1,-0.23351285855842444,-0.23351285855842444,0,-0.2525796696667403,-0.2525796696667403,0,-0.5471063323287451,-0.5471063323287451,0
stewart david raymond,1,-0.11763621917430343,-0.11763621917430343,0,0.0,0.0,0,0.0,0.0,0
bailo carla jean,1,0.05509854867156247,0.05509854867156247,100,0.18230758424278182,0.18230758424278182,100,-0.14782653301355894,-0.14782653301355894,100
greco thomas r,1,0.16793611078334203,0.16793611078334203,100,0.17025752761359192,0.17025752761359192,100,0.4285091726515579,0.4285091726515579,100
rady ernest s,178,-2.7804393500159708,-0.015620445786606577,43,-1.7643689835962753,-0.00991218530110267,43,8.880863624010418,0.04989249226972145,43
nelles duane a,1,0.0380997822485869,0.0380997822485869,100,0.11863993306296541,0.11863993306296541,100,0.14564738179498105,0.14564738179498105,100
steen michael t,1,1.0843576630396852,1.0843576630396852,100,2.22290501989663,2.22290501989663,100,2.3340783003924983,2.3340783003924983,100
forbes james anthony,1,1.0843576630396852,1.0843576630396852,100,2.22290501989663,2.22290501989663,100,2.3340783003924983,2.3340783003924983,100
durkin brian l,1,0.35164192176045894,0.35164192176045894,100,0.29453642448346107,0.29453642448346107,100,0.5387968903731829,0.5387968903731829,100
rapp edward j,1,-0.06520496864647292,-0.06520496864647292,0,0.04910360930390596,0.04910360930390596,0,0.20646342233712828,0.20646342233712828,0
stokes nicole s,1,-0.017989926234238524,-0.017989926234238524,0,0.0,0.0,0,0.0,0.0,0
proctor h palmer jr,5,0.0615403183043694,0.012308063660873881,80,0.36862099580317825,0.07372419916063565,80,1.563142982372844,0.3126285964745688,80
mccague elizabeth a,4,-0.5872584310513138,-0.14681460776282845,25,0.3907339730875341,0.09768349327188353,25,0.4461727453222459,0.11154318633056147,25
lynch robert p,2,-0.4783636392970245,-0.23918181964851226,0,-0.1539747342040925,-0.07698736710204625,0,2.3231705228837667,1.1615852614418833,0
pierson michael t,1,-0.26158042355017935,-0.26158042355017935,0,-0.06617363673020313,-0.06617363673020313,0,1.1681588012852366,1.1681588012852366,0
creasy ross l,1,-0.2312162581794694,-0.2312162581794694,0,-0.004151115850407495,-0.004151115850407495,0,1.3121627401465927,1.3121627401465927,0
ezzell robert dale,1,-0.2167832157468452,-0.2167832157468452,0,-0.08780109747388937,-0.08780109747388937,0,1.15501172159853,1.15501172159853,0
bowen william i jr,3,-0.33520566082129916,-0.11173522027376638,0,-0.2410613728314931,-0.08035379094383104,0,1.034987332399667,0.3449957774665557,0
mckendry william d,1,-0.2167832157468452,-0.2167832157468452,0,-0.08780109747388937,-0.08780109747388937,0,1.15501172159853,1.15501172159853,0
hill leo j,1,-0.04883014143174005,-0.04883014143174005,0,-0.22360124796090272,-0.22360124796090272,0,-0.2526958616085309,-0.2526958616085309,0
buono stefano,2,-0.20970040721349623,-0.10485020360674811,50,-0.8993019197207679,-0.44965095986038395,50,-1.2053083187899942,-0.6026541593949971,50
howell stephen b,1,-0.2845849802371542,-0.2845849802371542,0,-0.7088274044795784,-0.7088274044795784,0,-0.6877470355731226,-0.6877470355731226,0
van duyne richard b,1,-0.2845849802371542,-0.2845849802371542,0,-0.7088274044795784,-0.7088274044795784,0,-0.6877470355731226,-0.6877470355731226,0
wider todd,2,-0.10381427536814997,-0.05190713768407498,50,-0.7992543118478581,-0.39962715592392906,50,1.239977468415547,0.6199887342077735,50
ahn mark j,2,-0.38313953488372093,-0.19156976744186047,0,0.3000968992248062,0.1500484496124031,0,-0.7815406976744186,-0.3907703488372093,0
rouhandeh steven h,1,-0.09302325581395349,-0.09302325581395349,0,0.7936046511627907,0.7936046511627907,0,0.02616279069767442,0.02616279069767442,0
davis jeffrey b,1,-0.09302325581395349,-0.09302325581395349,0,0.7936046511627907,0.7936046511627907,0,0.02616279069767442,0.02616279069767442,0
